REST.OF.BRAIN.(Table.3),X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
"All values refer to the ensemble of brainstem, diencephalon and basal ganglia, for both sides of the brain.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Species,Order ,"Structure mass, g","Mass, SD",Neurons,"Neurons, SD",Other cells,"Other cells, SD",Neurons/mg,"N/mg, SD",Other cells/mg,"O/mg, SD",O/N,"O/N, SD",Source
Sciurus carolinensis,Glires,1.9430000000000001,± 0.156,33493401,"± 17,128,790",210023933,"± 3,415,060",17616,"± 9,989",108482,"± 7,808",7.2460000000000004,NA,"Herculano-Houzel et al., 2011"
Cynomys sp.,Glires,1.9450000000000001,± 0.146,34090600,"± 589,361",167742733,"± 5,025,290",17590,"± 1,335",86542,"± 6,793",4.923,NA,"Herculano-Houzel et al., 2011"
Callimico goeldii,Primata,2.0859999999999999,NA,53911480,NA,194528520,NA,25844,NA,93254,NA,3.6080000000000001,NA,"Gabi et al., 2010"
Otolemur garnetti,Primata,2.1309999999999998,± 0.021,20800000,"± 12,280,000",147440000,"± 64,500,000",9730,"± 5,920",69040,NA,7.0880000000000001,NA,"Herculano-Houzel et al., 2007"
Aotus trivirgatus,Primata,3.1040000000000001,NA,49340000,NA,313460000,NA,15900,NA,100990,NA,6.3529999999999998,NA,"Herculano-Houzel et al., 2007"
Oryctolagus cuniculus,Glires,3.2719999999999998,NA,26085000,NA,251415000,NA,7972,NA,76838,NA,NA,NA,"Herculano-Houzel et al., 2011"
Dendrohyrax dorsalis,Afrotheria,3.3279999999999998,NA,44671471,NA,152466529,NA,13423,NA,45813,NA,3.4129999999999998,NA,"Neves et al., 2014"
Macaca fascicularis,Primata,4.2939999999999996,NA,65449620,NA,260170380,NA,15242,NA,60589,NA,3.9750000000000001,NA,"Gabi et al., 2010"
Procavia capensis,Afrotheria,4.3170000000000002,± 0.625,69358240,"± 762,000",162984760,"± 6,105,000",16436,"± 2,556",38353,"± 4,138",2.351,± 0.114,"Neves et al., 2014"
Saimiri sciureus,Primata,5.0039999999999996,NA,65530000,NA,302590000,NA,13090,NA,60470,NA,4.6180000000000003,NA,"Herculano-Houzel et al., 2007"
Dasyprocta primnolopha,Glires,5.9720000000000004,± 0.514,43204320,NA,356835680,NA,6830,NA,56408,NA,NA,NA,"Herculano-Houzel et al., 2006"
Macaca radiata,Primata,7.4480000000000004,NA,61359000,NA,616641000,NA,8238,NA,82793,NA,10.050000000000001,NA,"Gabi et al., 2010"
Cebus apella,Primata,8.43,NA,61850000,NA,506110000,NA,7340,NA,60040,NA,8.1829999999999998,NA,"Herculano-Houzel et al., 2007"
Macaca mulatta,Primata,9.2040000000000006,± 0.871,121900000,NA,966520000,NA,12410,NA,98420,NA,7.9290000000000003,NA,"Herculano-Houzel et al., 2007"
Sus scrofa domesticus,Artiodactyla,13.85,NA,58709836,NA,1096821414,NA,4238,NA,79192,NA,18.681999999999999,NA,"Kazu et al., 2014"
Papio anubis cynocephalus,Primata,17.234999999999999,NA,278150760,NA,1079809236,NA,16136,NA,62656,NA,3.8820000000000001,NA,"Gabi et al., 2010"
Hydrochoerus hydrochaeris,Glires,19.927,± 0.270,108250000,"± 4,400,000",779170000,"± 381,900,000",5434,NA,39234,NA,NA,NA,"Herculano-Houzel et al., 2006"
Antidorcas marsupialis,Artiodactyla,25.81,NA,70485000,NA,1319280624,NA,2731,NA,51115,NA,18.71,NA,"Kazu et al., 2014"
Damaliscus dorcas phillipsi,Artiodactyla,30.006,NA,86428126,NA,2136071876,NA,2880,NA,71188,NA,24.718,NA,"Kazu et al., 2014"
Tragelaphus stripceros,Artiodactyla,61.716000000000001,NA,106590230,NA,3408779523,NA,1727,NA,55233,NA,31.98,NA,"Kazu et al., 2014"
Giraffa camelopardalensis,Artiodactyla,70.680000000000007,NA,142697625,NA,4878864876,NA,2019,NA,69028,NA,34.19,NA,"Kazu et al., 2014"
Homo sapiens,Primata,117.66,± 45.42,690000000,"± 120,000,000",7730000000,"± 1,450,000,000",6560,"± 2,115",69850,"± 20,026",11.202999999999999,± 2.352,"Azevedo et al., 2009"
Loxodonta africana,Afrotheria,564.67399999999998,NA,741704844,NA,27404306156,NA,1314,NA,48531,NA,36.948,NA,"Herculano-Houzel et al., 2014"
